category,question,answer,site
내차팔기,"공동명의자 차량의 경우 판매 가능한가요?
연장하다","기아 인증중고차 서비스는 공동명의자 차량을 판매 할 수 있습니다. '내차팔기'시 공동명의자 정보를 모두 입력해 주시고, 공동명의자 모두의 서류를 준비해주셔야 합니다.",기아자동차
내차팔기,"'내차팔기' 를 취소하고 싶은데 어떻게 해야 하나요?
연장하다",기아 인증중고차 서비스의 내차팔기 취소는 탁송기사 배정 전까지 [마이페이지 > 내차팔기 > 판매취소]를 통해 직접 취소가 가능합니다. 판매 취소 관련하여 자세한 상담은 기아 인증중고차 고객센터(080-200-2000)으로 문의해 주시기 바랍니다.,기아자동차
내차팔기,"차량 판매 대금은 언제 입금되나요?
연장하다",기아 인증중고차 서비스의 차량 판매 대금은 탁송기사에게 차량 인도 후 최대 5분 이내에 차량 명의자의 입금계좌로 지급됩니다.,기아자동차
내차팔기,"자동차 보험 해지는 언제 해야 하나요?
연장하다","기아 인증중고차 서비스에 차량을 판매 할 때, 탁송 기사에게 제출한 서류로 명의이전이 진행됩니다. 명의이전이 완료되면 변경된 자동차 등록증 사본을 전달해 드립니다. 이후, 보험 해지를 진행하시면 됩니다. 명의이전 완료 전에 보험을 해지하시면 과태료가 발생할 수 있기 때문에 반드시 명의이전 완료 후 보험을 해지해주세요.",기아자동차
내차팔기,"주행거리 99,000km 이상 차량도 내차팔기 가능한가요?
연장하다","기아 인증중고차 서비스 정책상 99,000km 이상 차량은 내차팔기 진행이 어렵습니다.",기아자동차
방문평가/데이터평가,"방문평가 일정을 변경할 수 있나요?
연장하다",기아 인증중고차 서비스의 [마이페이지 > 상세 견적 정보 > 일정 변경]에서 평가사 방문 평가 일정을 변경할 수 있습니다.,기아자동차
방문평가/데이터평가,"방문평가 예약 일정이 확정 날짜인가요?
연장하다","기아 인증중고차 서비스에서 선택하신 평가일시는 최종 확정시간이 아닙니다. 전문 평가사가 평가 확정 시간 약속을 위해 별도 유선 연락을 드릴 수 있습니다. 방문평가 일정이 확정되면, 평가사 연락처, 이름, 방문평가 일정이 알림톡으로 발송됩니다.",기아자동차
방문평가/데이터평가,"방문평가 신청을 했는데 일자와 시간을 변경/취소 하고 싶어요. 당일 변경/취소도 가능한가요?
연장하다",기아 인증중고차 서비스의 방문평가는 평가사 방문 예정일 전일 낮 12시 전까지는 예약일자/시간/장소의 변경 및 취소가 가능하지만 당일 취소는 어렵습니다. 부득이한 경우 배정된 담당 평가사 또는 기아 인증중고차 고객센터(080-200-2000)으로 연락해 주세요.,기아자동차
방문평가/데이터평가,"차량평가 방법을 어떻게 신청 하나요?
연장하다",기아 인증중고차 서비스의 상세 견적 요청 시 차량의 평가 방법인 평가사 방문평가와 데이터 평가 방법 중 원하는 평가 방법을 선택할 수 있습니다. 방문평가 선택 후 방문평가를 원하는 일정과 장소를 선택하시면 됩니다.,기아자동차
방문평가/데이터평가,"방문평가 가능 시간은 어떻게 되나요?
연장하다","기아 인증중고차 방문평가 서비스는 월~토, 오전 9시~오후 8시까지 가능합니다.(일요일 및 법정공휴일은 제외)",기아자동차
방문평가/데이터평가,"방문평가는 어떻게 검수를 진행하나요?
연장하다","기아 인증중고차 서비스의 방문평가 담당 제휴 업체 전문 평가사가 고객님이 요청하신 장소에 방문하여, 차량의 사고 여부 및 상태를 진단합니다. 현장에서 사진 촬영 등 차량 검수를 진행하며 시간은 약 30분 내외로 진행됩니다.",기아자동차
방문평가/데이터평가,"방문평가 이후 차량 판매를 취소할 수 있나요?
연장하다",기아 인증중고차 서비스 방문 평가 이후 판매 취소를 할 수 있습니다. [마이페이지 > 견적삭제]를 통해 차량의 판매 취소가 가능합니다.,기아자동차
방문평가/데이터평가,"방문평가 신청 후 데이터 평가로 변경할 수 있나요?
연장하다","기아 인증중고차 서비스에서 방문평가를 신청한 후 데이터 평가로 변경할 수 있습니다. 단, 평가사 배정 전 가능하며, 평가사가 배정되었다면 반드시 평가사 또는 기아 인증중고차 고객센터(080-200-2000)으로 연락주시기 바랍니다.",기아자동차
방문평가/데이터평가,"데이터 평가는 어떻게 차량 검수가 이루어지나요?
연장하다",기아 인증중고차 서비스의 데이터 평가는 Auto Q 점검 데이터와 고객님이 직접 촬영한 사진으로 평가가 이루어집니다.,기아자동차
방문평가/데이터평가,"데이터 평가 신청 후 재촬영 요청을 받았는데 업로드 기간이 만료되었다고 합니다. 어떻게 해야 하나요?
연장하다","기아 인증중고차 서비스의 데이터 평가 시 재촬영 안내를 받으셨다면, 요청일 기준으로 7영업일 이내에 사진을 다시 업로드해 주셔야 합니다. 업로드 기간이 지났다면, 상세 견적 요청은 자동으로 삭제됩니다. 상세 견적을 원하실 경우, 다시 예상 견적부터 진행해 주셔야 합니다.",기아자동차
방문평가/데이터평가,"차량 사진을 삭제할 수 있나요?
연장하다","기아 인증중고차 서비스 데이터 평가 사진 촬영은 중간 저장이 가능하며, 차량 사진 삭제 역시 가능합니다.",기아자동차
Pricing,"내차팔기의 차량 최종 산정 기준이 어떻게 되나요?
연장하다",기아 인증중고차 서비스의 자체 개발한 가격엔진을 통해 기아 중고차의 현 시세와 가격을 모니터링하고 있습니다. 기아 인증중고차만의 투명하고 공정한 인증 검사 과정을 거쳐 차량의 최종 가격을 산정하고 있습니다.,기아자동차
탁송,"탁송일정과 장소 변경이 가능한가요?
연장하다","탁송일정 및 장소 변경이 필요할 경우, 탁송기사 배정 전까지 변경이 가능하나 당일 변경은 어렵습니다. '내차팔기'의 경우 탁송일정 및 장소 변경이 필요하시다면 기아 인증중고차 고객센터 (080-200-2000)으로 문의해 주시기 바랍니다.",기아자동차
탁송,"탁송 가능 시간은 어떻게 되나요?
연장하다",기아 인증중고차 서비스의 탁송 가능한 영업 시간은 월~금 오전 9시~오후 6시까지입니다.,기아자동차
탁송,"탁송 시 서류를 다 준비하지 못한 경우 어떻게 하나요?
연장하다",필요서류를 준비하지 못하셨거나 전달하지 못하셨다면 기아 인증중고차 고객센터 (080-200-2000)로 연락해 주시기 바랍니다.,기아자동차
탁송,"탁송 시 차량 소유주만 인도가 가능한가요?
연장하다","기아 인증중고차 서비스는 소유주가 지정한 대리인이 탁송 기사에게 차량 인도가 가능합니다. 인도자 성함, 연락처를 입력해 주시기 바랍니다.",기아자동차
탁송,"탁송 신청했는데 인수자 정보 변경이 가능한가요?
연장하다",기아 인증중고차 서비스에서 '내차팔기'의 경우 인수자 정보는 홈페이지에서 변경이 어렵습니다. 변경이 필요할 경우 기아 인증중고차 고객센터(080-200-2000)으로 문의해주시기 바랍니다.,기아자동차
탁송,"내차사기 후 언제부터 탁송을 신청할 수 있나요?
연장하다","기아 인증중고차 서비스에서 내차사기를 통해 결제까지 진행하셨다면, 탁송일은 2일 부터 7일 내 일정 선택 가능합니다.",기아자동차
탁송,"내차팔기/사기 탁송 취소 시 패널티가 있나요?
연장하다","기아 인증중고차 서비스의 내차팔기/사기 탁송 취소 시 패널티가 적용됩니다. 탁송예정일 전일(영업일 기준) 낮 12시 이후부터는 탁송료는 고객 부담으로 처리됩니다.
그리고 탁송기사가 배정될 경우 탁송예정일 전일(영업일 기준) 낮 12시 이전이라고 하더라도 탁송료는 고객 부담으로 처리됩니다.",기아자동차
탁송,"차량구매 후 탁송서비스는 어떻게 제공되나요?
연장하다",기아 인증중고차는 차량을 직접 탁송 기사가 운행해서 전달하는 로드탁송으로 진행됩니다. 출고장에 방문하여 직접 출고는 불가합니다.,기아자동차
명의이전,"차량 명의이전은 직접 하나요?
연장하다","기아 인증중고차 서비스의 명의이전은 정책상 직접 진행이 불가합니다. '내차사기' 명의이전 진행 시 명의이전 대행비용은 차량 한 대당 27,500원(VAT포함)입니다.",기아자동차
명의이전,"명의이전은 언제 이루어지나요?
연장하다","1. 내차팔기 명의이전 : 기아 인증중고차 서비스를 통해 판매한 차량의 명의이전 처리는 이전 관련한 서류 누락이 없을 경우 차량 대금 지급일로 부터 영업일 기준 평균 2일이 소요됩니다.
미납 세금및 압류, 저당이 남아있거나 미비된 서류가 있을 경우 별도로 연락을 드릴예정입니다.
2. 내차사기 명의이전 : 기아 인증중고차 서비스를 통해 구매하신 차량의 명의이전 처리는 차량 인수 시점에서 구매확정(인수일 +8일 00시)후 명의이전 절차가 진행됩니다.
빠른 명의이전을 원하실 경우, 기아인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 연락부탁드립니다.",기아자동차
명의이전,"명의이전을 위해 본인 확인은 어떻게 진행되나요?
연장하다","기아 인증중고차 서비스에서는 '내차팔기' , '내차사기' 명의이전 대행업체에서 온라인 이전 등록을 위해 연락드리고 있습니다. 전자적 본인 인증 완료 후 명의이전이 진행 가능합니다.",기아자동차
명의이전,"이전등록비는 카드로 결제가 가능한가요?
연장하다","이전등록비는 현금으로만 결제 가능합니다. 이전등록비에는 취등록세, 인증지대, 명의이전대행비가 포함되어 있습니다.",기아자동차
명의이전,"내차사기 구매 후 취등록세 차액은 어떻게 환불 받나요?
연장하다",기아 인증중고차 서비스에서 차량을 구매할 때 입력한 계좌로 취등록세 차액이 환불됩니다.,기아자동차
명의이전,"차량 구매 시 세금은 어떤 것이 있나요?
연장하다","기아 인증중고차 서비스의 내 차 사기 구매 후 부과되는 세금에는 취득세, 공채 매입비, 인증지대가 있습니다.
- 취등록세: 차종에 따라 차량 가격의 총 4~7%를 납부합니다.
- 공채 매입비: 차량 등록 시, 각 지자체에서 발행한 채권을 매입하도록 법으로 규정되어 있습니다. 구입 초기 비용 부담을 덜기 위해 할인율을 적용하여 즉시 매도하는 공채 할인을 이용합니다.
- 인증지대와 명의이전 등록을 위한 수수료 등이 있습니다.",기아자동차
명의이전,"인증중고차를 구매했습니다. 제주도 지역인데 차고지 증명서는 언제 제출해야 하나요?
연장하다",차고지 증명서는 구매확정 후 명의이전이 진행될 때 제출해 주셔야 합니다. 만약 차고지 증명서가 준비되지 않았다면 명의이전이 어려울 수 있으니 사전에 확인해 주시기 바랍니다.,기아자동차
명의이전,"명의이전 시 지방세(취득세)감면 구비 서류는 무엇인가요?
연장하다",기아 인증중고차를 구매 후 소유권 이전/명의이전 시 지방세(취득세) 감면 처리를 위해 준비해야할 서류를 안내드립니다.,기아자동차
명의이전,"명의이전 절차 진행 시 유의사항은 무엇인가요?
연장하다","구매하신 차량의 명의이전 처리는 차량의 잔금납부일로부터 15일 이내 진행하셔야합니다. 명의이전을 기한내 진행될 수 있도록 협조 부탁드립니다.
기아 인증중고차에서 위탁한 명의이전 대행업체가 온라인으로 이전등록을 진행하고, 진행 과정에서 매수인의 본인인증이나 유선동의가 반드시 필요합니다.
연락이 되지 않아 이전등록이 불가한 경우 법정기간 경과 시 지자체에서 매수인에게 과태료가 부과될 수 있으니 유념 바랍니다.
■ 내차사기 명의이전 위탁사 : 다코스 1688-6112",기아자동차
회원,"법인 회원도 가입가능한가요?
연장하다",기아 인증중고차 서비스는 법인 회원일 경우 회원가입이 불가능합니다. 개인 회원과 개인사업자 회원인 경우에만 회원가입이 가능합니다.,기아자동차
회원,"기아 인증중고차 플랫폼은 홈페이지 로그인을 해야만 서비스를 이용할 수 있나요?
연장하다","기아 인증중고차 서비스는 홈페이지 비로그인 상태에서도 '내차팔기', '내차사기'의 예상 견적과 매물 차량 검색이 가능합니다.",기아자동차
회원,"아이디 찾기 가능한가요?
연장하다",기아 인증중고차 서비스 로그인 화면에서 본인 명의 휴대폰 또는 아이핀으로 본인인증 후 아이디 찾기가 가능합니다.,기아자동차
회원,"비밀번호가 생각나지 않아요. 비밀번호 변경이 가능한가요?
연장하다",기아 인증중고차 서비스 홈페이지 로그인 화면에서 비밀번호 초기화 후 재설정 할 수 있습니다.,기아자동차
내차사기,"차량 구매 시 두 대 이상의 차량 주문이 가능한가요?
연장하다",기아 인증중고차 서비스는 '내차사기' 이용 시 동시에 최대 2대까지 구매 가능합니다.,기아자동차
내차사기,"내차사기는 어떤 절차로 진행되나요?
연장하다","기아 인증중고차 서비스에서 '내차사기'는 아래와 같은 방법으로 차량을 구매하실 수 있습니다.
1. 관심있는 매물을 탐색합니다.
2. 매물 정보를 확인하고 ""구매하기""를 클릭합니다.
3. 구매자 정보를 입력하고 결제방식을 선택합니다.
4. 탁송일자 선택 및 자동차보험 서류를 업로드하고 전자서명을 해서 계약서를 작성합니다.
5. 차량을 인수받고 문제가 없다면 구매확정 이후에 명의이전이 진행됩니다.",기아자동차
내차사기,"공동명의로 차량을 구매할 수 있나요?
연장하다","기아 인증중고차 서비스에서 차량 구매 시 공동명의로 차량 구매가 가능합니다. 다만, 공동명의자로 추가될 경우 전자적 본인인증 절차를 완료해주셔야 합니다.",기아자동차
내차사기,"기아 인증중고차에서 판매하는 차량은 무사고 차량이 맞나요?
연장하다",기아 인증중고차 서비스에서는 자동차관리법에 준하는 무사고 차량만 판매합니다.,기아자동차
내차사기,"자동차 보험 서류는 언제까지 업로드해야 하나요?
연장하다",탁송 예정일 전날인 오후 4시 전까지 업로드 해주셔야 합니다.,기아자동차
내차사기,"공동명의로 차량 구입 시 타인 카드로 결제가 가능한가요?
연장하다","기아 인증중고차 서비스에서는 공동 명의로 차량 구입이 가능합니다.
다만, 주계약자 명의의 카드로만 결제가 가능합니다.",기아자동차
내차사기,"내 차 사기로 차량을 구매하면 디지털키(NFC 키)도 제공되나요?
연장하다","기아 인증중고차 서비스에서 디지털키(NFC 키)는 중고차 특성상 파손, 고장 등으로 인해 모든 차량에서 제거 후 출고되고 있습니다.",기아자동차
내차사기,"경차 구입 후 잔금결제 시 취등록세가 결제됩니다. 결제 전에는 0원이었는데 왜 다른가요?
연장하다",기아 인증중고차에서는 결제 시 일괄 7%의 취등록세를 계산하여 결제가 진행됩니다. 홈페이지에 나타나는 총 비용 계산하기는 대략적인 차종 별 취등록세 계산 금액입니다. 결제가 되더라도 명의이전 후 남은 금액은 고객님의 계좌로 환불해드리고 있습니다.,기아자동차
내차사기,"블랙박스가 장착된 차량을 구매했습니다. SD카드가 제공되나요?
연장하다",기아 인증중고차 서비스에서는 전 차주의 개인정보 및 점검항목 미포함으로 인해 SD카드는 제거 후 탁송이 진행됩니다. 차량 인수 후 해당 차량에 맞는 SD카드를 별도로 구입 후 장착해 주시기 바랍니다.,기아자동차
내차사기,"내차사기 취소, 환불 시 타인계좌로 입금도 가능한가요?
연장하다",내차사기 계약서 작성 시 고객님께서 입력하신 본인 명의 계좌로만 입금이 가능합니다.,기아자동차
내차사기,"차량 구매 시 제공되는 필수 지급품은 무엇인가요?
연장하다","기아 인증중고차 서비스는 비상 삼각대, 타이어 임시수리키트(TMK)가 필수 지급 품목입니다.",기아자동차
내차사기,"차량 사용 설명서를 확인할 수 있는 방법이 있나요?
연장하다","기아 인증중고차에서는 종이로 된 차량 설명서는 훼손, 오염 등으로 인해서 제공해드리지 않고 있습니다. 차량 설명서 확인이 필요하시다면 디지털 차량설명서 (https://ownersmanual.kia.com/main) 를 통해 확인하실 수 있습니다.",기아자동차
내차사기,"차량 구매 후 명의이전 전에 발생한 교통위반 범칙금 또는 고속도로 통행료 미납은 어떻게 처리가 되나요?
연장하다","명의이전 전에 교통위반 범칙금(속도위반, 주차위반), 고속도로 하이패스 미납은 고객 부담입니다. 교통위반 범칙금 및 통행료 미납이 확인될 경우, 고객센터에서 안내 전화 및 납부 요청이 있을 수 있습니다.",기아자동차
내차사기,"제주도는 차량 탁송이 어떻게 되나요?
연장하다","기아 인증중고차는 차량을 '탁송 기사가 운행해서 전달하는 로드탁송'으로 진행됩니다.
제주도는 선적 배송이 추가됨으로 아래의 내용 확인해주세요.
1. 인수일 기준 2영업일(16시)이내 보험 가입 서류 제출이 완료되어야 합니다.
예) 인수일이 5/25일(금)일 경우, D-2일인 5/23(수) 16시까지 보험가입 서류 제출 필요
2. 자동차 보험의 효력 발생 일자는 인수일 전일 00시부터 시작되어야 합니다.
예) 인수일이 5/25일(금)일 경우, D-1일인 5/24(목) 00시부터 보험 효력 발생 필요
3. 도로 상황, 선박사의 선적/ 하적에 따른 시간, 해양 기상 상황 등의 변수에 따라 요청하신 시간에 차량 인수가 어려울 수 있습니다.
4. 명의이전을 위해 일부 차량은 차고지 증명서를 준비해주셔야 합니다. 대상 차량은 아래의 사이트에서 확인해 주세요.
제주특별자치도 차고지 증명제
그 외 추가 궁금한 사항은 고객센터(080-200-2000)으로 문의해 주세요.",기아자동차
내차사기,"자동차 구입 시 보험가입은 어떻게 하나요?
연장하다","자동차 구입 후 책임보험 가입이 의무화 되어있습니다. 보험의 효력 발생은 탁송 출고일 부터 적용되어야합니다. (제주도 탁송 제외)
보험 가입 서류 업로드 시 보험가입증명서 또는 보험증권만 승인이 가능합니다.
※ 명의 이전 시점에 해당 차량 보험 가입이 확인되어야 명의이전이 가능합니다.(자동차손해배상 보장법 제5조)
최소 15일 기간 이상의 보험 가입을 권장드립니다.",기아자동차
환불/취소,"차량 주문을 취소하고 싶은데 가능한가요?
연장하다",탁송기사가 배정 전이라면 기아 인증중고차 [마이페이지 > 주문 취소]가 가능합니다.,기아자동차
환불/취소,"환불은 언제 완료되나요?
연장하다","카드 취소는 취소접수일로부터 3~5 영업일 내에 완료되며, 현금 결제한 경우 주문 정보와 동일한 계좌로 당일(영업 시간에 따라 익영업일)에 입금됩니다. 포인트로 결제한 경우 즉시 환불됩니다. 기아 인증중고차의 [마이페이지 > 결제]에서 내역을 확인할 수 있습니다.",기아자동차
환불/취소,"7일 환불 보장 서비스 기간 동안 차량에 투입된 비용도 환불이 되나요?
연장하다","기아 인증중고차 서비스에서는 차량 인도 후 고객이 임의로 추가한 장착품 및 차량에 투입된 비용(블랙박스 장착 비용, 썬팅 비용, 타이어 교체비용, 각종 배터리 교체 비용, 각종 오일 교체비용, 광택 및 세차비용, 주유비 등) 에 대해서는 환불이 불가합니다.",기아자동차
환불/취소,"단순변심으로 환불을 신청할 경우 전액 환불이 가능한가요?
연장하다","기아 인증중고차 서비스에서는 단순변심으로 환불을 신청한 경우, 탁송비(차량 반환시 및 재인도시), 자동차 보험료 및 금융상품 취소 후 발생하는 수수료, 그 외 차량에 투입된 비용 등은 환불이 불가합니다.",기아자동차
환불/취소,"환불 탁송 시 비용이 추가되나요?
연장하다",기아 인증중고차 서비스에서는 고객님의 단순 변심으로 '내차사기' 환불 진행 시 차량을 회수하기 위한 왕복 추가 탁송비가 발생합니다.,기아자동차
환불/취소,"계약금만 결제하고 취소했는데 환불이 가능한가요?
연장하다","기아 인증중고차에서는 계약금 결제 후 취소하시더라도 전액 환불이 가능합니다. 카드 취소는 취소접수일로부터 3영업일 이내 완료되며, 현금 입금은 주문정보와 동일한 계좌로 당일(영업 시간에 따라 익영업일)에 입금될 예정입니다.",기아자동차
환불/취소,"차량을 구매한 후 환불을 하고 싶은데 어떻게 해야하나요?
연장하다","구매한 차량의 환불이 필요하시다면 마이페이지 > 구매한 차량 ""자세히 보기"" > 환불 요청을 진행해주시면 고객센터에서 탁송 정보 확인차 연락드리고 있습니다. 환불탁송이 진행되면 입고 검수를 진행하고 환불이 진행됩니다.",기아자동차
환불/취소,"환불 시 제한된 주행 거리가 있나요?
연장하다","차량 인도 후, 환불 가능 기간 동안 주행거리는 200km이내로 제한됩니다.
이 제한은 차량의 상태를 정확히 유지하기 위한 것으로, 이 점 양해부탁드립니다.
혹시라도 환불을 고려하시게 될 경우, 해당 주행거리 제한을 준수해주시기를 정중히 부탁드립니다.
추가 문의사항이나 도움이 필요한 경우 고객센터로 문의바랍니다.
- 평일: 09:00~18:00 (12:00~13:00 점심시간)
- 대표번호 : 080-200-2000",기아자동차
결제,"결제 방식은 어떻게 되나요?
연장하다","기아 인증중고차 서비스에서는 즉시 결제, 계약금 결제 방식을 선택할 수 있습니다. 또한 결제 시 기아 멤버스 포인트를 5년 간 100만 포인트 한도 내에서 사용하실 수 있습니다.
차량 취등록세, 이전등록비는 현금 결제만 가능합니다.
[즉시 결제]
- 전액 현금 결제/ 카드와 현금 결제/ 여러 카드와 현금 결제(카드는 최대 10개까지 가능)
[계약금 결제]
- 계약금 30만원 선결제 후, 추후 3영업일 이내 잔금 결제
- 잔금 결제 시 전액 현금 결제/ 카드와 현금 결제/ 여러 카드와 현금 결제(카드는 최대 10개까지 가능)",기아자동차
결제,"카드 결제 시 본인 명의의 카드로만 결제 가능한가요?
연장하다",기아 인증중고차 서비스의 '내차사기' 구매 시 카드 결제는 주계약자 명의로 된 카드로만 결제가 가능합니다.,기아자동차
결제,"카드 결제는 어떤 카드로 결제가 가능한가요?
연장하다","기아 인증중고차에서 결제 가능한 카드사는 총 8개입니다.
현대, 국민, 삼성, 신한, 비씨, 롯데, 하나, 농협 카드사를 통해 결제 가능합니다.",기아자동차
결제,"현금영수증 발행이 가능한가요?
연장하다","기아 인증중고차 서비스는 현금영수증 발행이 가능합니다. 주계약자의 명의로 자동 발행됩니다. 단, 이전등록비로 결제하는 취등록세, 공채매입비는 현금영수증이 제외됩니다.",기아자동차
결제,"가상 계좌 번호로 차량 대금을 나눠 입금이 가능한가요?
연장하다","기아 인증중고차 서비스에서 현금 결제를 진행하실 경우 안내받으신 가상 계좌 번호로 입금 금액을 한 번에 입금해 주셔야 합니다.
가상 계좌 예금주는 주계약자 성함으로 발급됩니다. 입금자명은 주문자명과 달라도 결제는 정상적으로 이루어집니다.
다만, 부분 입금은 할 수 없습니다.
※ 고객님의 1일 이체 한도를 확인하시어 한도 증액이 필요하신 경우 은행을 방문해 주시기 바랍니다.",기아자동차
결제,"간편 결제가 가능한가요?
연장하다","기아 인증중고차에서는 현재 간편결제는 지원 되지 않습니다. 
(네이버페이, 카카오페이, 토스페이, 삼성페이, 애플페이, 페이코페이 등등)",기아자동차
결제,"공동명의로 차량을 구입할 예정입니다. 공동명의자도 금융서비스 이용이 가능한가요?
연장하다","기아 인증중고차 금융서비스는 구매하려는 차량의 주명의자와 금용서비스 주계약자가 동일해야 진행이 가능합니다. 정확한 내용은 선택하신 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-4095 / 신한카드 1688-7474)",기아자동차
결제,"금융서비스 이용 시 오프라인으로 진행하고 싶은데 가능한가요?
연장하다","기아 인증중고차 금융서비스는 비대면 온라인으로 진행하실 수 있습니다. 정확한 내용은 해당 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-4095 / 신한카드 1688-7474)",기아자동차
결제,"차량구매 취소 및 대출을 취소하고 싶습니다. 어떻게 해야되나요?
연장하다","현대캐피탈 오토할부의 경우 구매확정 시 할부도 확정됩니다. 환불을 진행할 경우 대출은 진행되지 않고 별도 절차 없이 자동으로 취소가 진행됩니다.
신한카드 오토론의 경우 구매취소와 별개로 대출취소는 신한카드사로 연락해 주시기 바랍니다.
(신한카드 1688-7474)",기아자동차
결제,"2대를 동시에 구매하고 있는데 금융서비스는 2개 다 이용할 수 있나요?
연장하다","금융사의 심사 결과에 따라 다릅니다. 자세한 내용은 선택하신 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-4095) / 신한카드 1688-7474)",기아자동차
보증서비스,"기아 인증중고차 구매하면 어떤 보증 혜택을 받을 수 있나요?
연장하다","기아 인증중고차 서비스에서는 1년2만km 이내의 보증 혜택을 제공합니다. 해당 기간동안은 신차에 준하는 보증 혜택을 받을 수 있습니다. 신차 보증기간이
1년2만km 이상 남았을 경우 신차 보증기간을 적용하며, 신차 보증기간이 1년2만km 미만으로 남을 경우 부족분 만큼만 기아 인증중고차 보증 혜택을 적용받으실 수 있습니다.",기아자동차
